sensor,bucket,timestamp,value,type,sensor_encoded
livingroom_PIR,1_4_7,2024-11-20 21:41:17.408,livingroombedarea,sensor,2
kitchen_PIR,1_5_9,2024-11-20 22:13:54.240,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 00:32:07.153,kitchen,sensor,1
livingroom_PIR,1_4_7,2024-11-21 00:59:16.319,livingroombedarea,sensor,2
kitchen_PIR,1_5_9,2024-11-21 02:50:16.250,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 05:11:02.621,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 07:01:32.415,kitchen,sensor,1
livingroom_PIR,1_4_7,2024-11-21 09:03:39.394,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-21 11:07:15.038,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-21 11:12:06.051,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-21 15:18:02.984,livingroombedarea,sensor,2
kitchen_PIR,1_5_9,2024-11-21 17:08:48.155,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 17:29:40.008,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 17:35:48.395,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 17:58:59.659,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 18:13:38.931,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 18:16:56.629,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 18:17:09.506,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 18:19:52.962,kitchen,sensor,1
livingroom_PIR,1_4_7,2024-11-21 18:31:19.969,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-21 18:34:26.193,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-21 18:34:47.829,livingroombedarea,sensor,2
kitchen_PIR,1_5_9,2024-11-21 18:40:48.871,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 18:42:49.808,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 18:46:16.128,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 18:47:12.168,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 18:52:18.716,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-21 18:52:34.137,kitchen,sensor,1
bathroom_PIR,1_3_6,2024-11-21 18:58:21.270,bathroom,sensor,0
livingroom_PIR,1_4_7,2024-11-21 21:24:42.967,livingroombedarea,sensor,2
