sensor,bucket,timestamp,value,type,sensor_encoded
kitchen_PIR,1_5_9,2024-10-31 12:14:06.000,corridor,sensor,1
kitchen_PIR,1_5_9,2024-10-31 12:14:39.000,corridor,sensor,1
kitchen_PIR,1_5_9,2024-10-31 12:18:29.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 12:18:54.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 12:19:18.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 12:26:39.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 12:27:53.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 12:28:24.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 12:38:55.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 12:43:02.000,kitchen,sensor,1
bathroom_PIR,1_3_6,2024-10-31 12:48:01.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-10-31 12:48:35.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-10-31 12:49:08.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-10-31 12:49:29.000,bathroom,sensor,0
kitchen_PIR,1_5_9,2024-10-31 12:51:03.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 12:51:27.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 13:04:20.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 13:06:42.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 13:07:20.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 13:07:43.000,kitchen,sensor,1
bathroom_PIR,1_3_6,2024-10-31 13:28:28.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-10-31 13:28:51.000,bathroom,sensor,0
livingroom_PIR,1_4_7,2024-10-31 13:32:11.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-10-31 13:41:25.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-10-31 13:51:14.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-10-31 14:08:11.000,livingroombedarea,sensor,2
kitchen_PIR,1_5_9,2024-10-31 16:28:30.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 16:29:05.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 16:30:04.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 16:30:30.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 16:31:11.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 16:40:08.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 17:02:00.000,kitchen,sensor,1
livingroom_PIR,1_4_7,2024-10-31 17:24:32.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-10-31 17:29:01.000,livingroombedarea,sensor,2
kitchen_PIR,1_5_9,2024-10-31 17:29:18.000,kitchen,sensor,1
livingroom_PIR,1_4_7,2024-10-31 17:31:06.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-10-31 17:31:38.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-10-31 17:55:41.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-10-31 17:58:10.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-10-31 17:59:45.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-10-31 18:00:20.000,livingroombedarea,sensor,2
kitchen_PIR,1_5_9,2024-10-31 18:00:58.000,livingroombedarea,sensor,1
kitchen_PIR,1_5_9,2024-10-31 18:01:36.000,livingroombedarea,sensor,1
kitchen_PIR,1_5_9,2024-10-31 18:09:09.000,kitchen,sensor,1
livingroom_PIR,1_4_7,2024-10-31 18:11:03.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-10-31 18:11:25.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-10-31 18:12:38.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-10-31 18:14:33.000,livingroom,sensor,2
livingroom_PIR,1_4_7,2024-10-31 18:15:00.000,livingroom,sensor,2
livingroom_PIR,1_4_7,2024-10-31 18:15:29.000,livingroom,sensor,2
livingroom_magnetic_switch,1_4_11,2024-10-31 22:26:32.000,livingroomdoor,sensor,3
livingroom_magnetic_switch,1_4_11,2024-10-31 22:27:11.000,livingroomdoor,sensor,3
livingroom_PIR,1_4_7,2024-10-31 22:39:00.000,livingroombedarea,sensor,2
livingroom_magnetic_switch,1_4_11,2024-10-31 22:39:32.000,livingroomdoor,sensor,3
livingroom_magnetic_switch,1_4_11,2024-10-31 22:40:07.000,livingroomdoor,sensor,3
livingroom_magnetic_switch,1_4_11,2024-10-31 22:42:56.000,livingroomdoor,sensor,3
livingroom_PIR,1_4_7,2024-10-31 22:43:38.000,livingroombedarea,sensor,2
kitchen_PIR,1_5_9,2024-10-31 22:46:58.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 22:53:15.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 22:57:48.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 22:58:15.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 22:58:42.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 22:59:09.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 23:07:59.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-10-31 23:20:03.000,kitchen,sensor,1
