group_id,value,start_time,end_time,duration,duration_seconds
1,corridor,2024-10-31 12:14:06.000,2024-10-31 12:14:39.000,0 days 00:00:33,33.0
2,kitchen,2024-10-31 12:18:29.000,2024-10-31 12:43:02.000,0 days 00:24:33,1473.0
3,bathroom,2024-10-31 12:48:01.000,2024-10-31 12:49:29.000,0 days 00:01:28,88.0
4,kitchen,2024-10-31 12:51:03.000,2024-10-31 13:07:43.000,0 days 00:16:40,1000.0
5,bathroom,2024-10-31 13:28:28.000,2024-10-31 13:28:51.000,0 days 00:00:23,23.0
6,livingroombedarea,2024-10-31 13:32:11.000,2024-10-31 14:08:11.000,0 days 00:36:00,2160.0
7,kitchen,2024-10-31 16:28:30.000,2024-10-31 17:02:00.000,0 days 00:33:30,2010.0
8,livingroombedarea,2024-10-31 17:24:32.000,2024-10-31 17:29:01.000,0 days 00:04:29,269.0
9,kitchen,2024-10-31 17:29:18.000,2024-10-31 17:29:18.000,0 days 00:00:00,0.0
10,livingroombedarea,2024-10-31 17:31:06.000,2024-10-31 18:01:36.000,0 days 00:30:30,1830.0
11,kitchen,2024-10-31 18:09:09.000,2024-10-31 18:09:09.000,0 days 00:00:00,0.0
12,livingroombedarea,2024-10-31 18:11:03.000,2024-10-31 18:12:38.000,0 days 00:01:35,95.0
13,livingroom,2024-10-31 18:14:33.000,2024-10-31 18:15:29.000,0 days 00:00:56,56.0
14,livingroomdoor,2024-10-31 22:26:32.000,2024-10-31 22:27:11.000,0 days 00:00:39,39.0
15,livingroombedarea,2024-10-31 22:39:00.000,2024-10-31 22:39:00.000,0 days 00:00:00,0.0
16,livingroomdoor,2024-10-31 22:39:32.000,2024-10-31 22:42:56.000,0 days 00:03:24,204.0
17,livingroombedarea,2024-10-31 22:43:38.000,2024-10-31 22:43:38.000,0 days 00:00:00,0.0
18,kitchen,2024-10-31 22:46:58.000,2024-11-01 15:33:11.000,0 days 16:46:13,60373.0
19,bathroom,2024-11-01 15:33:19.000,2024-11-01 15:33:19.000,0 days 00:00:00,0.0
20,kitchen,2024-11-01 15:33:28.000,2024-11-01 15:33:28.000,0 days 00:00:00,0.0
21,bathroom,2024-11-01 15:33:32.000,2024-11-01 15:33:57.000,0 days 00:00:25,25.0
22,kitchen,2024-11-01 15:34:05.000,2024-11-01 15:34:05.000,0 days 00:00:00,0.0
23,bathroom,2024-11-01 15:34:07.000,2024-11-01 15:34:07.000,0 days 00:00:00,0.0
24,kitchen,2024-11-01 15:34:23.000,2024-11-01 15:34:23.000,0 days 00:00:00,0.0
25,bathroom,2024-11-01 15:34:24.000,2024-11-01 15:34:24.000,0 days 00:00:00,0.0
26,kitchen,2024-11-01 15:34:34.000,2024-11-01 15:36:17.000,0 days 00:01:43,103.0
27,bathroom,2024-11-01 15:36:48.000,2024-11-01 15:36:48.000,0 days 00:00:00,0.0
28,kitchen,2024-11-01 15:36:49.000,2024-11-01 15:38:03.000,0 days 00:01:14,74.0
29,bathroom,2024-11-01 15:38:05.000,2024-11-01 15:38:05.000,0 days 00:00:00,0.0
30,kitchen,2024-11-01 15:38:09.000,2024-11-01 15:38:09.000,0 days 00:00:00,0.0
31,bathroom,2024-11-01 15:38:24.000,2024-11-01 15:38:24.000,0 days 00:00:00,0.0
32,kitchen,2024-11-01 15:38:28.000,2024-11-01 15:38:28.000,0 days 00:00:00,0.0
33,bathroom,2024-11-01 15:38:35.000,2024-11-01 15:38:35.000,0 days 00:00:00,0.0
34,kitchen,2024-11-01 15:38:39.000,2024-11-01 15:41:00.000,0 days 00:02:21,141.0
35,bathroom,2024-11-01 15:41:00.000,2024-11-01 15:41:00.000,0 days 00:00:00,0.0
36,kitchen,2024-11-01 15:46:48.000,2024-11-01 15:46:48.000,0 days 00:00:00,0.0
37,bathroom,2024-11-01 15:46:51.000,2024-11-01 15:46:51.000,0 days 00:00:00,0.0
38,kitchen,2024-11-01 15:47:02.000,2024-11-01 15:47:02.000,0 days 00:00:00,0.0
39,bathroom,2024-11-01 15:47:07.000,2024-11-01 15:47:07.000,0 days 00:00:00,0.0
40,kitchen,2024-11-01 15:47:29.000,2024-11-01 15:47:35.000,0 days 00:00:06,6.0
41,bathroom,2024-11-01 15:50:50.000,2024-11-01 15:50:50.000,0 days 00:00:00,0.0
42,kitchen,2024-11-01 15:50:50.000,2024-11-01 15:51:27.000,0 days 00:00:37,37.0
43,bathroom,2024-11-01 15:51:32.000,2024-11-01 15:51:32.000,0 days 00:00:00,0.0
44,kitchen,2024-11-01 15:51:39.000,2024-11-01 16:10:55.000,0 days 00:19:16,1156.0
45,bathroom,2024-11-01 16:11:02.000,2024-11-01 16:11:02.000,0 days 00:00:00,0.0
46,kitchen,2024-11-01 16:11:05.000,2024-11-01 16:11:05.000,0 days 00:00:00,0.0
47,bathroom,2024-11-01 16:11:13.000,2024-11-01 16:11:13.000,0 days 00:00:00,0.0
48,kitchen,2024-11-01 16:11:20.000,2024-11-01 16:11:20.000,0 days 00:00:00,0.0
49,bathroom,2024-11-01 16:11:24.000,2024-11-01 16:11:24.000,0 days 00:00:00,0.0
50,kitchen,2024-11-01 16:11:46.000,2024-11-01 16:11:46.000,0 days 00:00:00,0.0
51,bathroom,2024-11-01 16:11:49.000,2024-11-01 16:11:49.000,0 days 00:00:00,0.0
52,kitchen,2024-11-01 16:13:09.000,2024-11-01 16:17:27.000,0 days 00:04:18,258.0
53,bathroom,2024-11-01 16:17:27.000,2024-11-01 16:18:29.000,0 days 00:01:02,62.0
54,kitchen,2024-11-01 16:18:32.000,2024-11-01 16:18:32.000,0 days 00:00:00,0.0
55,bathroom,2024-11-01 16:19:01.000,2024-11-01 16:19:17.000,0 days 00:00:16,16.0
56,kitchen,2024-11-01 16:19:23.000,2024-11-01 16:19:23.000,0 days 00:00:00,0.0
57,bathroom,2024-11-01 16:19:36.000,2024-11-01 16:19:36.000,0 days 00:00:00,0.0
58,kitchen,2024-11-01 16:19:41.000,2024-11-01 16:19:41.000,0 days 00:00:00,0.0
59,bathroom,2024-11-01 16:19:48.000,2024-11-01 16:19:48.000,0 days 00:00:00,0.0
60,kitchen,2024-11-01 16:19:57.000,2024-11-01 16:19:57.000,0 days 00:00:00,0.0
61,bathroom,2024-11-01 16:20:01.000,2024-11-01 16:20:10.000,0 days 00:00:09,9.0
62,kitchen,2024-11-01 16:20:16.000,2024-11-01 16:20:25.000,0 days 00:00:09,9.0
63,bathroom,2024-11-01 16:20:28.000,2024-11-01 16:20:28.000,0 days 00:00:00,0.0
64,kitchen,2024-11-01 16:20:38.000,2024-11-01 16:20:38.000,0 days 00:00:00,0.0
65,bathroom,2024-11-01 16:20:40.000,2024-11-01 16:20:40.000,0 days 00:00:00,0.0
66,kitchen,2024-11-01 16:20:47.000,2024-11-01 16:20:59.000,0 days 00:00:12,12.0
67,bathroom,2024-11-01 16:21:17.000,2024-11-01 16:21:17.000,0 days 00:00:00,0.0
68,kitchen,2024-11-01 16:21:42.000,2024-11-01 16:21:42.000,0 days 00:00:00,0.0
69,bathroom,2024-11-01 16:21:46.000,2024-11-01 16:21:46.000,0 days 00:00:00,0.0
70,kitchen,2024-11-01 16:21:54.000,2024-11-01 16:21:54.000,0 days 00:00:00,0.0
71,bathroom,2024-11-01 16:21:58.000,2024-11-01 16:21:58.000,0 days 00:00:00,0.0
72,kitchen,2024-11-01 16:22:11.000,2024-11-01 16:22:11.000,0 days 00:00:00,0.0
73,bathroom,2024-11-01 16:22:18.000,2024-11-01 16:22:38.000,0 days 00:00:20,20.0
74,kitchen,2024-11-01 16:22:40.000,2024-11-01 16:23:00.000,0 days 00:00:20,20.0
75,bathroom,2024-11-01 16:23:08.000,2024-11-01 16:23:08.000,0 days 00:00:00,0.0
76,kitchen,2024-11-01 16:23:20.000,2024-11-01 16:27:05.000,0 days 00:03:45,225.0
77,bathroom,2024-11-01 16:27:39.000,2024-11-01 16:28:43.000,0 days 00:01:04,64.0
78,kitchen,2024-11-01 16:32:11.000,2024-11-01 16:39:26.000,0 days 00:07:15,435.0
79,bathroom,2024-11-01 16:43:20.000,2024-11-01 16:43:20.000,0 days 00:00:00,0.0
80,kitchen,2024-11-01 16:52:18.000,2024-11-01 16:54:33.000,0 days 00:02:15,135.0
81,bathroom,2024-11-01 17:09:10.000,2024-11-01 17:15:04.000,0 days 00:05:54,354.0
82,kitchen,2024-11-01 17:32:35.000,2024-11-07 17:54:14.000,6 days 00:21:39,519699.0
83,bathroom,2024-11-07 17:58:05.000,2024-11-07 18:02:19.000,0 days 00:04:14,254.0
84,kitchen,2024-11-07 18:02:30.000,2024-11-07 18:07:35.000,0 days 00:05:05,305.0
85,bathroom,2024-11-07 18:09:08.000,2024-11-07 18:09:08.000,0 days 00:00:00,0.0
86,livingroomdoor,2024-11-07 18:10:23.000,2024-11-07 18:10:23.000,0 days 00:00:00,0.0
87,kitchen,2024-11-07 18:10:52.000,2024-11-07 18:11:00.000,0 days 00:00:08,8.0
88,livingroomdoor,2024-11-07 18:12:30.000,2024-11-07 18:12:41.000,0 days 00:00:11,11.0
89,kitchen,2024-11-07 18:15:37.000,2024-11-07 18:15:45.000,0 days 00:00:08,8.0
90,livingroomdoor,2024-11-07 18:23:07.000,2024-11-07 18:24:37.000,0 days 00:01:30,90.0
91,livingroombedarea,2024-11-07 18:25:21.000,2024-11-07 18:28:44.000,0 days 00:03:23,203.0
92,livingroomdoor,2024-11-07 18:29:50.000,2024-11-07 18:29:50.000,0 days 00:00:00,0.0
93,livingroombedarea,2024-11-07 18:33:55.000,2024-11-07 18:34:40.000,0 days 00:00:45,45.0
94,livingroomdoor,2024-11-07 18:37:44.000,2024-11-07 18:40:35.000,0 days 00:02:51,171.0
