sensor,bucket,timestamp,value,type
['kitchen_PIR'],1_5_9,1730376846000.0,corridor,sensor
['kitchen_PIR'],1_5_9,1730376879000.0,corridor,sensor
['kitchen_PIR'],1_5_9,1730377109000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730377134000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730377158000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730377599000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730377673000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730377704000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730378335000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730378582000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730379063000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730379087000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730379860000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730380002000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730380040000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730380063000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730392110000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730392145000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730392204000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730392230000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730392271000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730392808000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730394120000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730395758000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730397658000.0,livingroombedarea,sensor
['kitchen_PIR'],1_5_9,1730397696000.0,livingroombedarea,sensor
['kitchen_PIR'],1_5_9,1730398149000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730414818000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730415195000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730415468000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730415495000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730415522000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730415549000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730416079000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730416803000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730417250000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730456526000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730456598000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730456622000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730456652000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730457215000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730457246000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730457267000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730457357000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730457467000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730457583000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730471746000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730471773000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730471795000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730471820000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730471845000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730471879000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730472087000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730472294000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730472318000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730472352000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730472623000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730472647000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730472671000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730472875000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730473011000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730474631000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730474639000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730474647000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730474665000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730474712000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730474723000.0,kitchen,sensor
