group_id,value,start_time,end_time,duration,duration_seconds
1,kitchen,2024-12-13 17:55:54.418,2024-12-13 18:05:34.524,0 days 00:09:40.106000,580.106
2,bathroom,2024-12-13 18:06:02.147,2024-12-13 18:18:16.063,0 days 00:12:13.916000,733.916
3,kitchen,2024-12-13 18:18:29.426,2024-12-13 18:18:29.426,0 days 00:00:00,0.0
4,bathroom,2024-12-13 18:18:46.031,2024-12-13 18:20:56.497,0 days 00:02:10.466000,130.466
5,kitchen,2024-12-13 18:20:56.506,2024-12-13 18:20:56.506,0 days 00:00:00,0.0
6,bathroom,2024-12-13 18:21:06.914,2024-12-13 18:21:38.981,0 days 00:00:32.067000,32.067
7,kitchen,2024-12-13 18:21:51.686,2024-12-13 18:21:51.686,0 days 00:00:00,0.0
8,bathroom,2024-12-13 18:21:55.807,2024-12-13 18:21:55.807,0 days 00:00:00,0.0
9,kitchen,2024-12-13 18:22:02.560,2024-12-13 18:22:02.560,0 days 00:00:00,0.0
10,bathroom,2024-12-13 18:22:02.675,2024-12-13 18:22:02.675,0 days 00:00:00,0.0
11,kitchen,2024-12-13 18:22:09.827,2024-12-13 18:22:09.827,0 days 00:00:00,0.0
12,bathroom,2024-12-13 18:22:17.275,2024-12-13 18:22:17.275,0 days 00:00:00,0.0
13,kitchen,2024-12-13 18:22:17.541,2024-12-13 18:23:23.441,0 days 00:01:05.900000,65.9
14,bathroom,2024-12-13 18:23:29.202,2024-12-13 18:23:29.202,0 days 00:00:00,0.0
15,kitchen,2024-12-13 18:23:34.831,2024-12-13 18:24:18.429,0 days 00:00:43.598000,43.598
16,bathroom,2024-12-13 18:24:28.258,2024-12-13 18:24:28.258,0 days 00:00:00,0.0
17,kitchen,2024-12-13 18:24:33.642,2024-12-13 18:24:33.642,0 days 00:00:00,0.0
18,bathroom,2024-12-13 18:24:35.545,2024-12-13 18:24:35.545,0 days 00:00:00,0.0
19,kitchen,2024-12-13 18:24:39.885,2024-12-13 18:24:39.885,0 days 00:00:00,0.0
