group_id,value,start_time,end_time,duration,duration_seconds
1,livingroomdoor,2024-12-20 16:27:11.000,2024-12-20 16:27:11.000,0 days 00:00:00,0.0
2,livingroombedarea,2024-12-20 16:49:38.081,2024-12-20 16:49:38.081,0 days 00:00:00,0.0
3,bathroom,2024-12-20 16:55:19.765,2024-12-20 16:57:29.603,0 days 00:02:09.838000,129.838
4,kitchen,2024-12-20 16:57:43.845,2024-12-20 16:57:43.845,0 days 00:00:00,0.0
5,bathroom,2024-12-20 16:57:47.776,2024-12-20 16:58:29.786,0 days 00:00:42.010000,42.01
6,livingroomdoor,2024-12-20 17:00:15.000,2024-12-20 17:00:15.000,0 days 00:00:00,0.0
7,kitchen,2024-12-20 17:09:41.919,2024-12-20 17:11:20.098,0 days 00:01:38.179000,98.179
8,livingroombedarea,2024-12-20 17:11:28.031,2024-12-20 17:11:28.031,0 days 00:00:00,0.0
9,kitchen,2024-12-20 17:11:30.920,2024-12-20 17:12:41.027,0 days 00:01:10.107000,70.107
10,livingroombedarea,2024-12-20 17:12:41.033,2024-12-20 17:12:41.033,0 days 00:00:00,0.0
11,kitchen,2024-12-20 17:12:48.133,2024-12-20 17:12:48.133,0 days 00:00:00,0.0
12,livingroombedarea,2024-12-20 17:12:51.122,2024-12-20 17:12:51.122,0 days 00:00:00,0.0
13,kitchen,2024-12-20 17:12:59.631,2024-12-20 17:14:07.955,0 days 00:01:08.324000,68.324
14,livingroombedarea,2024-12-20 17:14:13.201,2024-12-20 17:14:22.362,0 days 00:00:09.161000,9.161
15,kitchen,2024-12-20 17:14:23.376,2024-12-20 17:14:23.376,0 days 00:00:00,0.0
16,livingroombedarea,2024-12-20 17:14:28.126,2024-12-20 17:14:28.126,0 days 00:00:00,0.0
17,kitchen,2024-12-20 17:14:29.644,2024-12-20 17:15:51.791,0 days 00:01:22.147000,82.147
18,livingroombedarea,2024-12-20 17:16:06.877,2024-12-20 17:16:06.877,0 days 00:00:00,0.0
19,kitchen,2024-12-20 17:16:11.603,2024-12-20 17:16:11.603,0 days 00:00:00,0.0
20,livingroombedarea,2024-12-20 17:16:14.487,2024-12-20 17:16:14.487,0 days 00:00:00,0.0
21,kitchen,2024-12-20 17:16:22.387,2024-12-20 17:16:22.387,0 days 00:00:00,0.0
22,livingroombedarea,2024-12-20 17:16:24.100,2024-12-20 17:16:24.100,0 days 00:00:00,0.0
23,kitchen,2024-12-20 17:16:31.513,2024-12-20 17:16:31.513,0 days 00:00:00,0.0
24,livingroombedarea,2024-12-20 17:16:36.089,2024-12-20 17:16:36.089,0 days 00:00:00,0.0
25,kitchen,2024-12-20 17:16:37.826,2024-12-20 17:16:37.826,0 days 00:00:00,0.0
26,livingroombedarea,2024-12-20 17:16:39.938,2024-12-20 17:16:39.938,0 days 00:00:00,0.0
27,kitchen,2024-12-20 17:16:47.147,2024-12-20 17:16:47.147,0 days 00:00:00,0.0
28,livingroombedarea,2024-12-20 17:16:47.994,2024-12-20 17:16:47.994,0 days 00:00:00,0.0
29,kitchen,2024-12-20 17:16:55.216,2024-12-20 17:16:55.216,0 days 00:00:00,0.0
30,livingroombedarea,2024-12-20 17:17:08.825,2024-12-20 17:17:08.825,0 days 00:00:00,0.0
31,kitchen,2024-12-20 17:17:11.232,2024-12-20 17:17:19.423,0 days 00:00:08.191000,8.191
32,livingroombedarea,2024-12-20 17:17:19.901,2024-12-20 17:17:19.901,0 days 00:00:00,0.0
33,kitchen,2024-12-20 17:17:34.376,2024-12-20 17:17:49.316,0 days 00:00:14.940000,14.94
34,livingroombedarea,2024-12-20 17:17:49.492,2024-12-20 17:17:49.492,0 days 00:00:00,0.0
35,kitchen,2024-12-20 17:18:02.498,2024-12-20 17:18:41.930,0 days 00:00:39.432000,39.432
36,livingroombedarea,2024-12-20 17:19:00.929,2024-12-20 17:19:00.929,0 days 00:00:00,0.0
37,kitchen,2024-12-20 17:19:10.071,2024-12-20 17:27:37.798,0 days 00:08:27.727000,507.727
38,livingroombedarea,2024-12-20 17:29:49.736,2024-12-20 17:33:11.405,0 days 00:03:21.669000,201.669
39,bathroom,2024-12-20 17:33:15.205,2024-12-20 17:33:45.149,0 days 00:00:29.944000,29.944
40,livingroomdoor,2024-12-20 17:40:48.000,2024-12-20 17:40:48.000,0 days 00:00:00,0.0
41,kitchen,2024-12-20 17:41:43.575,2024-12-20 17:47:48.006,0 days 00:06:04.431000,364.431
42,livingroomdoor,2024-12-20 17:48:09.000,2024-12-20 17:48:09.000,0 days 00:00:00,0.0
43,bathroom,2024-12-20 17:52:15.418,2024-12-20 17:52:15.418,0 days 00:00:00,0.0
44,livingroomdoor,2024-12-20 17:52:33.000,2024-12-20 17:52:33.000,0 days 00:00:00,0.0
45,bathroom,2024-12-20 17:52:33.364,2024-12-20 17:53:03.274,0 days 00:00:29.910000,29.91
46,livingroomdoor,2024-12-20 17:54:52.000,2024-12-20 17:54:52.000,0 days 00:00:00,0.0
47,bathroom,2024-12-20 18:05:39.884,2024-12-20 18:09:50.688,0 days 00:04:10.804000,250.804
48,livingroomdoor,2024-12-20 18:31:52.000,2024-12-20 18:31:52.000,0 days 00:00:00,0.0
49,bathroom,2024-12-20 18:36:08.600,2024-12-20 18:42:51.356,0 days 00:06:42.756000,402.756
50,livingroomdoor,2024-12-20 18:45:30.000,2024-12-20 18:45:30.000,0 days 00:00:00,0.0
51,kitchen,2024-12-20 18:46:38.499,2024-12-20 19:28:54.243,0 days 00:42:15.744000,2535.744
52,bathroom,2024-12-20 19:30:01.094,2024-12-20 19:31:42.557,0 days 00:01:41.463000,101.463
53,kitchen,2024-12-20 19:32:55.354,2024-12-20 19:33:52.553,0 days 00:00:57.199000,57.199
54,bathroom,2024-12-20 19:33:59.959,2024-12-20 19:34:15.535,0 days 00:00:15.576000,15.576
55,kitchen,2024-12-20 19:34:21.967,2024-12-20 19:34:21.967,0 days 00:00:00,0.0
56,bathroom,2024-12-20 19:34:22.396,2024-12-20 19:34:22.396,0 days 00:00:00,0.0
57,kitchen,2024-12-20 19:34:27.908,2024-12-20 19:34:27.908,0 days 00:00:00,0.0
58,bathroom,2024-12-20 19:34:29.260,2024-12-20 19:34:29.260,0 days 00:00:00,0.0
59,kitchen,2024-12-20 19:34:33.325,2024-12-20 19:34:40.526,0 days 00:00:07.201000,7.201
60,bathroom,2024-12-20 19:34:41.343,2024-12-20 19:34:41.343,0 days 00:00:00,0.0
61,kitchen,2024-12-20 19:34:45.845,2024-12-20 19:34:45.845,0 days 00:00:00,0.0
62,bathroom,2024-12-20 19:34:54.405,2024-12-20 19:34:54.405,0 days 00:00:00,0.0
63,kitchen,2024-12-20 19:34:54.518,2024-12-20 19:34:54.518,0 days 00:00:00,0.0
64,bathroom,2024-12-20 19:35:06.478,2024-12-20 19:35:06.478,0 days 00:00:00,0.0
65,kitchen,2024-12-20 19:35:19.172,2024-12-20 19:37:50.893,0 days 00:02:31.721000,151.721
66,bathroom,2024-12-20 19:38:50.760,2024-12-20 19:38:50.760,0 days 00:00:00,0.0
67,kitchen,2024-12-20 19:39:07.057,2024-12-20 19:39:07.057,0 days 00:00:00,0.0
